"Class","Time","Total Taught","Revenue","Total Revenue","Attendances","Avg Class Revenue","Avg Revenue per Attendance","Location"
"Coding Classes - All Ages/Levels","Wednesday at 17:30","4","0.0","A$0","0","A$0","","Rouse Hill"
"MathCode Mastery","Wednesday at 17:30","4","0.0","A$0","0","A$0","","Rouse Hill"
"Coding Classes - All Ages/Levels","Tuesday at 17:30","5","232.26","A$232.26","8","A$46.45","A$29.03","Rouse Hill"
"MathCode Mastery","Tuesday at 17:30","5","0.0","A$0","0","A$0","","Rouse Hill"
"Coding Classes - All Ages/Levels","Tuesday at 16:00","5","459.49","A$459.49","12","A$91.90","A$38.29","Rouse Hill"
"MathCode Mastery","Tuesday at 16:00","5","0.0","A$0","0","A$0","","Rouse Hill"
"Coding Classes - All Ages/Levels","Thursday at 17:30","4","0.0","A$0","0","A$0","","Rouse Hill"
"MathCode Mastery","Thursday at 17:30","4","0.0","A$0","0","A$0","","Rouse Hill"
"Coding Classes - All Ages/Levels","Thursday at 16:00","4","0.0","A$0","0","A$0","","Rouse Hill"
"MathCode Mastery","Thursday at 16:00","4","0.0","A$0","0","A$0","","Rouse Hill"
"Coding Classes - All Ages/Levels","Saturday at 11:00","4","0.0","A$0","0","A$0","","Rouse Hill"
"MathCode Mastery","Saturday at 11:00","4","0.0","A$0","0","A$0","","Rouse Hill"
"Coding Classes - All Ages/Levels","Saturday at 09:30","4","0.0","A$0","0","A$0","","Rouse Hill"
"MathCode Mastery","Saturday at 09:30","4","0.0","A$0","0","A$0","","Rouse Hill"
"Coding Classes - All Ages/Levels","Monday at 17:30","5","224.75","A$224.75","8","A$44.95","A$28.09","Rouse Hill"
"MathCode Mastery","Monday at 16:00","5","0.0","A$0","0","A$0","","Rouse Hill"
"Coding Classes - All Ages/Levels","Monday at 16:00","5","224.75","A$224.75","5","A$44.95","A$44.95","Rouse Hill"
"Coding Classes - All Ages/Levels","Friday at 17:30","4","0.0","A$0","0","A$0","","Rouse Hill"
"MathCode Mastery","Friday at 17:30","4","0.0","A$0","0","A$0","","Rouse Hill"
"Coding Classes - All Ages/Levels","Friday at 16:00","4","0.0","A$0","0","A$0","","Rouse Hill"
"MathCode Mastery","Friday at 16:00","4","0.0","A$0","0","A$0","","Rouse Hill"
